timeStamp,elapsed,bytes,grpThreads,allThreads,Latency
1526045755633,119,3751,122,121,118
1526045755633,120,3648,122,121,119
1526045755637,116,3680,122,121,116
1526045755635,119,3816,122,121,119
1526045755634,121,3705,122,121,121
1526045755639,116,3662,122,121,116
1526045755631,125,3540,122,121,124
1526045755631,125,3582,122,121,120
1526045755631,125,3583,122,121,125
1526045755639,118,3568,122,121,117
1526045755672,86,3655,122,121,86
1526045755634,124,3530,122,121,124
1526045755666,92,3500,122,121,92
1526045755638,114,3751,122,121,114
1526045755632,120,3731,122,121,120
1526045755632,127,3646,122,121,127
1526045755638,122,3591,122,121,122
1526045755652,100,3662,122,121,99
1526045755635,126,3644,122,121,126
1526045755638,114,3833,122,121,114
1526045755632,130,3648,122,121,130
1526045755635,127,3669,122,121,127
1526045755631,121,3545,122,121,121
1526045755632,120,3738,122,121,120
1526045755635,128,3703,122,121,128
1526045755633,131,3899,122,121,131
1526045755632,132,3734,122,121,132
1526045755631,133,3545,122,121,133
1526045755637,129,3606,122,121,129
1526045755637,129,3540,122,121,129
1526045755634,132,3548,122,121,132
1526045755634,133,3548,122,121,133
1526045755633,131,3816,122,121,129
1526045755632,136,3664,122,121,136
1526045755633,135,3734,122,121,135
1526045755636,132,3606,122,121,129
1526045755633,136,3683,122,121,136
1526045755631,138,3678,122,121,138
1526045755632,148,3645,122,121,148
1526045755631,148,3680,122,121,148
1526045755632,148,3568,122,121,148
1526045755631,150,3674,122,121,150
1526045755633,146,3612,122,121,146
1526045755639,130,3708,122,121,130
1526045755632,133,3548,122,121,133
1526045755634,149,3513,122,121,149
1526045755639,144,3563,122,121,144
1526045755633,146,3688,122,121,146
1526045755678,101,3613,122,121,100
1526045755631,154,3654,122,121,154
1526045755634,144,3676,122,121,144
1526045755633,153,3555,122,121,153
1526045755635,143,3577,122,121,143
1526045755638,140,3711,122,121,140
1526045755631,139,3564,122,121,139
1526045755632,146,3678,122,121,146
1526045755634,154,3734,122,121,154
1526045755631,157,3563,122,121,157
1526045755631,147,3618,122,121,147
1526045755633,145,3741,122,121,144
1526045755632,158,3678,122,121,158
1526045755633,144,3708,122,121,144
1526045755634,157,3668,122,121,157
1526045755637,154,3618,122,121,154
