timeStamp,elapsed,bytes,grpThreads,allThreads,Latency
1526044948166,75,3885,93,92,75
1526044948155,87,3872,93,92,87
1526044948157,86,3831,93,92,86
1526044948164,80,3841,93,92,80
1526044948168,76,3912,93,92,76
1526044948156,90,3850,93,92,90
1526044948169,79,3876,93,92,79
1526044948155,93,3743,93,92,93
1526044948155,93,3850,93,92,93
1526044948167,82,3799,93,92,82
1526044948154,95,3761,93,92,95
1526044948155,95,3781,93,92,95
1526044948158,93,3820,93,92,93
1526044948180,73,3747,93,92,73
1526044948155,98,3779,93,92,98
1526044948154,88,3733,93,92,88
1526044948194,60,3848,93,92,60
1526044948154,100,3779,93,92,100
1526044948154,87,3895,93,92,87
1526044948159,96,3799,93,92,94
1526044948155,100,3806,93,92,98
1526044948155,101,3889,93,92,98
1526044948154,102,3691,93,92,102
1526044948154,102,3809,93,92,102
1526044948154,103,3864,93,92,103
1526044948155,98,3841,93,92,98
1526044948154,99,3721,93,92,99
1526044948183,77,3885,94,93,77
1526044948156,104,3784,94,93,104
1526044948154,107,3832,95,94,107
1526044948233,30,3812,96,95,30
1526044948155,109,3807,97,95,109
1526044948197,70,3816,97,96,70
1526044948155,113,3869,97,96,113
1526044948165,105,3781,98,97,105
1526044948166,105,3889,98,97,105
1526044948154,118,3977,98,97,118
1526044948178,94,3684,98,97,94
1526044948157,116,3779,98,97,116
1526044948154,120,3892,98,97,120
1526044948169,105,3831,98,97,105
1526044948181,94,3786,98,97,94
1526044948157,119,3812,98,97,118
1526044948157,119,3779,98,97,119
1526044948154,122,3902,98,97,122
1526044948155,122,3716,98,97,122
1526044948161,116,3839,98,97,116
1526044948155,123,3733,98,97,123
1526044948155,124,3738,98,97,124
1526044948154,125,3781,98,97,125
1526044948166,99,3781,97,96,99
1526044948182,100,3747,98,97,100
1526044948158,124,3899,98,97,124
1526044948155,128,3860,98,97,128
1526044948154,130,3846,98,97,130
1526044948154,131,3902,98,97,131
1526044948154,133,3756,99,97,133
1526044948155,132,3824,99,97,132
1526044948155,129,3837,98,97,129
1526044948250,40,3815,99,97,40
1526044948154,137,3841,99,97,137
1526044948155,137,3912,99,97,137
1526044948249,43,3824,99,97,43
1526044948253,40,3928,99,97,40
1526044948249,45,3902,99,97,44
1526044948164,130,3912,99,97,130
1526044948155,139,3904,99,97,139
1526044948165,129,4060,99,97,129
1526044948181,113,3928,99,97,113
1526044948154,140,3866,99,97,140
1526044948158,136,3849,99,97,136
1526044948154,141,3885,99,97,141
1526044948154,141,3805,99,97,141
1526044948257,38,3666,99,97,38
1526044948156,139,3824,99,97,139
1526044948167,128,3779,99,97,128
1526044948155,140,3806,99,97,140
1526044948155,140,3912,99,97,140
1526044948155,141,3666,99,97,140
1526044948258,38,3812,99,97,38
1526044948243,53,3825,99,97,53
1526044948179,117,3784,99,97,117
1526044948245,52,3864,99,97,52
1526044948259,38,3889,99,97,38
1526044948260,37,3721,99,97,37
1526044948159,139,3904,99,97,138
1526044948234,64,3849,100,97,64
1526044948265,35,3799,101,99,35
1526044948268,33,3773,101,100,33
1526044948269,36,3977,103,102,36
1526044948262,43,3809,103,102,43
1526044948262,44,3752,104,102,44
1526044948270,36,3738,104,102,36
1526044948155,138,3747,99,97,138
1526044948176,117,3727,104,102,117
1526044948255,66,3743,104,102,66
1526044948286,40,3829,104,102,39
1526044948165,161,3928,104,102,161
1526044948276,50,3815,104,102,50
1526044948319,7,3905,104,102,7
1526044948290,37,3839,104,102,37
1526044948254,73,3860,104,102,73
1526044948157,170,3904,104,102,170
1526044948168,160,3721,104,102,160
1526044948291,37,3928,104,102,37
1526044948279,49,3831,104,102,49
1526044948293,36,3842,104,102,36
1526044948154,175,3994,104,102,175
1526044948283,46,3847,104,102,46
1526044948277,52,3744,104,102,52
1526044948290,39,3684,104,102,39
1526044948271,59,3928,104,102,59
1526044948256,74,3747,104,102,74
1526044948260,71,3860,104,102,70
1526044948283,48,3872,104,102,47
1526044948154,177,3719,104,102,177
1526044948247,84,3774,104,102,84
1526044948263,68,3734,104,102,68
1526044948273,59,3866,104,102,59
1526044948244,88,3734,104,102,88
1526044948242,90,3779,104,102,90
1526044948251,72,3786,104,102,42
1526044948248,86,3887,104,102,85
1526044948257,77,3745,104,102,76
1526044948304,21,3706,104,102,21
1526044948270,51,3889,104,102,51
1526044948154,180,3809,105,102,180
1526044948279,55,3824,105,102,55
1526044948255,80,3734,104,102,80
1526044948285,51,3887,105,102,37
1526044948248,87,3885,105,102,86
1526044948275,60,3860,105,102,57
1526044948303,32,3774,105,103,32
1526044948155,182,3725,105,103,181
1526044948254,80,3837,104,102,79
1526044948254,84,4028,105,103,83
1526044948158,176,3809,105,103,175
1526044948273,61,3725,105,103,60
1526044948259,80,3809,105,103,78
1526044948299,40,3829,105,103,38
1526044948245,94,3844,105,103,88
1526044948256,83,4060,105,103,81
1526044948251,87,3904,105,103,87
1526044948257,77,3860,105,103,77
1526044948290,47,3743,105,103,46
1526044948263,78,3809,105,103,74
1526044948326,3,3786,106,103,3
1526044948155,187,3899,106,103,178
1526044948154,188,4028,106,103,179
1526044948285,40,3752,106,103,37
1526044948276,74,3767,106,103,74
1526044948154,197,3866,106,103,197
1526044948284,51,3864,105,102,51
1526044948155,198,3716,106,103,198
1526044948317,38,3810,106,103,38
1526044948327,30,3837,106,103,30
1526044948319,39,3839,106,103,39
1526044948274,84,3839,106,103,84
1526044948302,57,3806,106,103,57
1526044948316,43,3866,106,103,43
1526044948272,88,3809,106,103,88
1526044948256,106,3779,106,103,105
1526044948278,85,3806,106,103,84
1526044948177,186,3928,106,103,186
1526044948316,51,3905,106,103,51
1526044948278,90,3885,106,103,90
1526044948300,69,3747,106,103,69
1526044948318,51,3864,106,103,51
1526044948317,53,3869,106,103,53
1526044948350,26,3848,106,103,26
1526044948320,57,3839,106,103,57
1526044948266,112,3786,106,103,111
1526044948341,37,3912,106,103,37
1526044948280,91,3798,106,103,91
1526044948334,44,3912,106,103,44
1526044948322,58,3804,107,103,57
1526044948318,53,3767,106,103,53
1526044948328,55,3864,108,106,55
1526044948333,52,3823,109,108,52
1526044948318,68,3779,109,108,68
1526044948323,63,3824,109,108,63
1526044948328,44,3743,106,103,43
1526044948352,24,3767,106,103,24
1526044948274,102,3869,106,103,102
1526044948352,24,3792,106,103,23
1526044948334,41,3733,106,103,41
1526044948335,40,3912,106,103,40
1526044948332,43,3824,106,103,43
1526044948296,79,3902,106,103,78
1526044948329,45,3805,106,103,45
1526044948336,38,3860,106,103,38
1526044948334,40,3846,106,103,40
1526044948339,35,3744,106,103,35
1526044948335,38,3872,106,103,38
1526044948320,53,3846,106,103,53
1526044948326,47,3666,106,103,47
1526044948339,34,3774,106,103,33
1526044948334,38,3816,106,103,38
1526044948308,64,3994,106,103,64
1526044948338,34,3684,106,103,34
1526044948339,66,3835,110,108,66
1526044948335,70,3847,110,108,70
1526044948360,51,3779,111,108,47
1526044948359,52,3889,111,108,49
1526044948380,44,3876,111,108,44
1526044948335,88,3905,111,108,88
1526044948330,95,3823,111,108,82
1526044948335,91,3823,111,108,77
1526044948377,46,3860,111,108,46
1526044948341,86,3767,111,108,86
1526044948379,43,3814,111,108,43
1526044948340,88,3864,111,108,72
1526044948378,44,3784,111,108,44
1526044948363,58,3842,111,108,45
1526044948377,44,3725,111,108,44
1526044948320,89,3684,111,108,89
1526044948321,99,3718,111,108,99
1526044948338,73,3876,111,108,69
1526044948340,88,3905,111,108,88
1526044948339,81,3818,111,108,81
1526044948333,96,3744,111,108,79
1526044948321,99,3876,111,108,99
1526044948338,92,3835,111,108,74
1526044948339,81,3756,111,108,81
1526044948323,96,3889,111,108,96
1526044948341,91,3885,111,108,72
1526044948339,80,3994,111,108,80
1526044948359,60,3725,111,108,48
1526044948426,7,3839,111,108,7
1526044948331,88,3709,111,108,88
1526044948359,60,3757,111,108,60
1526044948340,78,3842,111,108,78
1526044948292,126,3779,111,108,126
1526044948337,81,3804,111,108,81
1526044948319,99,3725,111,108,99
1526044948332,86,3839,111,108,85
1526044948334,83,3866,111,108,83
1526044948332,85,3752,111,108,85
1526044948331,104,3810,111,108,104
1526044948323,112,3786,111,108,112
1526044948362,55,3725,111,108,55
1526044948332,104,3902,111,108,104
1526044948323,114,3792,111,108,113
1526044948333,83,3824,111,108,83
1526044948369,69,3691,111,108,68
1526044948342,74,3756,111,108,74
1526044948338,69,3779,111,108,68
1526044948343,73,3837,111,108,73
1526044948324,92,3747,111,108,92
1526044948357,56,3743,111,108,50
1526044948328,87,3820,111,108,87
1526044948336,79,3805,111,108,79
1526044948341,74,3902,111,108,74
1526044948324,90,3994,111,108,90
